Sentence,Label
"🔴Çalışma ve Sosyal Güvenlik Bakanı Vedat Işıkhan, 2024'te geçerli olacak asgari ücrete ilişkin tek zam sinyali vererek, “Temmuz ayında olduğu gibi ilkemiz yine enflasyona ezdirmemek. Asgari ücret zaten hep yılda bir kereydi biliyorsunuz. Yine tek zam olacak şekilde çalışıyoruz” dedi",1
Mesajları anlamıyor ve doğru şekilde cevap vermiyorlar. Beni Instagramdan engelliyorlar. Güvenilir bir şirket değiller ve sadece reklam yapıyorlar. Bana gönderdikleri kargoyu Pera Giyim adlı bir şirket adı altında göndermişler. Sayfa gerçekçi değil. Shopierden alışveriş yapmıştım çünkü onlara banka hesabım var.,0
"Ürünün kokusu yok, beğenmedim",0
Kargo bugün elime ulaştı. Hiçbir dökülme vs. yoktu. Çok güzel ve özenli paketlenmişti. Yumuşatıcının kokusu efsane. Kapağını açtığınız anda çok güzel kokuyor. İndirimde aldığım en iyi ürünlerden biri. Teşekkür ederim.,2
fena değil kokusu iyi,1
"Çok kötü diyebilirim, telefon bağlantısı kesilebiliyor, ses kalitesi çok çok kötü. Ucuz olunca normal tabii.",0
Ne yazık ki bu yeni deterjanın kokusu pek etkili değil. Önceki ürünlerdeki gibi hoş bir koku bırakmıyor ve yıkanan çamaşırlarda fark edilir bir koku olmuyor.,0
İnsan ve toplum ilişkisini mükemmel bir şekilde açıklamış kesinlikle izlenmesi gereken filmlerden.,2
"Oyuncuların motive olmadığı bariz, maça çıkmaktan kaçınıyorlar.",0
"Oteldeki çalışanlar, her konuda yardımcı oldular.",2
Kumaş çok güzel sadece dikişleri sağlam değil.,1
"Yaya geçitlerinde araçların durmaması can sıkıcı, yayaların güvenliği tehlikede.",0
" ödememizi yaptık. Kartımızdan 7619,46 TL çekim yapıldı. Kiralama günü geldiğinde avec böyle bir rezervasyonun olmadığı söyledi ve insanlıktan uzak ilgisizlikle birlikte ortalıkta kaldık hem araç yok hem para yok. ",0
Trafik işaretlerinin yerlerinin belirsiz olması sürücülerin kafasının karışmasına neden oluyor.,0
Trafikte öncelik verilmemesi kazaların bağımsız nedenlerinden biri olamaz.,0
"""Siyasi çizim kartı ülkenin iç ve dış politikalarını belirler.""",1
Bu ürün benim beklentilerimi aştı.,2
